date, value 
2021-05-17, 17
2021-05-18, 5
2021-05-19, 2
2021-05-20, 2
2021-05-22, 2
2021-05-25, 1
2021-05-26, 1
2021-05-27, 3
2021-06-03, 1
2021-06-04, 2
2021-06-06, 1
2021-06-07, 2
2021-06-09, 1
2021-06-10, 1
2021-06-11, 2
2021-06-16, 1
2021-06-19, 1
2021-06-21, 1
2021-06-22, 2
2021-06-23, 1
2021-06-25, 1
2021-06-26, 1
2021-06-27, 1
2021-06-28, 1
2021-06-29, 1
2021-07-02, 347
2021-07-03, 63
2021-07-04, 19
2021-07-05, 41
2021-07-06, 5
2021-07-07, 4
2021-07-08, 5
2021-07-09, 2
2021-07-10, 1
2021-07-11, 1
2021-07-12, 2
2021-07-13, 3
2021-07-14, 2
2021-07-15, 3
2021-07-16, 1
2021-07-17, 1
2021-07-18, 1
2021-07-19, 1
2021-07-20, 4
2021-07-21, 8
2021-07-22, 3
2021-07-23, 9
2021-07-24, 6
2021-07-25, 1
2021-07-26, 2
2021-07-30, 2
2021-08-01, 1
2021-08-04, 1
2021-08-06, 1
2021-08-07, 1
2021-08-09, 2
2021-08-10, 1
2021-08-12, 1
2021-08-17, 1
2021-08-18, 1
2021-08-19, 3
2021-08-20, 1
2021-08-22, 1
2021-08-23, 1
2021-08-25, 1
2021-08-26, 1
2021-08-27, 43
2021-08-28, 25
2021-08-29, 6
2021-08-30, 5
2021-08-31, 2
2021-09-01, 2
2021-09-02, 3
2021-09-03, 7
2021-09-04, 8
2021-09-06, 2
2021-09-07, 3
2021-09-08, 1
2021-09-09, 1
2021-09-13, 16
2021-09-14, 1
2021-09-16, 6
2021-09-17, 3
2021-09-18, 2
2021-09-19, 1
2021-09-20, 41
2021-09-21, 30
2021-09-22, 12
2021-09-23, 8
2021-09-24, 20
2021-09-25, 10
2021-09-26, 1
2021-09-27, 1
2021-09-28, 1
2021-10-02, 1
2021-10-04, 1
2021-10-07, 1
2021-10-12, 1
2021-10-16, 1
2021-10-22, 1
2021-10-28, 1
2021-10-30, 1
2021-11-26, 2
2021-11-29, 1
2021-12-04, 1
2021-12-17, 1
2022-01-02, 1
2022-01-15, 1
2022-01-31, 1
2022-02-02, 1
2022-03-10, 5
2022-03-11, 9
2022-03-12, 8
2022-03-13, 3
2022-03-14, 2
2022-03-15, 2
2022-03-16, 1
2022-03-17, 2
2022-03-18, 1
2022-03-22, 2
2022-03-24, 1
2022-03-25, 5
2022-03-26, 10
2022-03-31, 2
2022-04-01, 41
2022-04-02, 14
2022-04-04, 1
2022-04-05, 4
2022-04-06, 1
2022-04-09, 7
2022-04-10, 1
2022-04-11, 1
2022-04-12, 3
2022-04-13, 1
2022-04-14, 5
2022-04-17, 2
2022-04-18, 7
2022-04-19, 1
2022-04-20, 2
2022-04-21, 1
2022-04-22, 4
2022-04-23, 3
2022-04-25, 2
2022-04-26, 2
2022-04-27, 2
2022-04-28, 4
2022-04-29, 12
2022-04-30, 17
2022-05-01, 1
2022-06-02, 1
2022-06-05, 1
2022-06-21, 1
2022-07-13, 1
2022-07-28, 1
2022-07-31, 1
2022-10-08, 1
2022-10-20, 2
2022-10-27, 1
2022-10-30, 1
2022-11-01, 1
2022-11-04, 1
2022-11-15, 1
2023-01-27, 1
2023-01-30, 1
2023-02-15, 1
2023-03-03, 1
2023-03-04, 1
2023-03-09, 1
2023-03-10, 1
2023-03-12, 2
2023-03-22, 1
2023-04-20, 1
2023-05-01, 1
2023-05-05, 1
2023-06-07, 1
2023-06-11, 1
2023-06-14, 1
2023-06-16, 2
2023-06-18, 1
2023-07-05, 1
2023-07-26, 1
2023-07-28, 1
2023-07-29, 1
2023-08-05, 1
2023-08-18, 1
2023-09-08, 1
2023-09-17, 1
2023-09-23, 2
2023-09-24, 1
2023-09-25, 1
2023-10-16, 1
2023-11-13, 1
2023-11-14, 1
2023-11-17, 1
2023-11-25, 1
2023-12-13, 1
2023-12-18, 1
2023-12-26, 1
