date, value 
2021-05-13, 1
2021-05-14, 2
2021-05-17, 21
2021-05-18, 6
2021-05-19, 4
2021-05-20, 2
2021-05-22, 2
2021-05-24, 2
2021-05-25, 1
2021-05-26, 1
2021-05-27, 1
2021-05-29, 1
2021-05-30, 1
2021-06-02, 1
2021-06-04, 1
2021-06-07, 2
2021-06-10, 1
2021-06-11, 1
2021-06-16, 1
2021-06-18, 1
2021-06-19, 2
2021-06-21, 1
2021-06-22, 1
2021-06-23, 2
2021-06-25, 1
2021-06-26, 1
2021-07-02, 170
2021-07-24, 47
2021-07-25, 12
2021-07-26, 14
2021-07-27, 4
2021-07-28, 1
2021-07-29, 1
2021-07-30, 3
2021-07-31, 2
2021-08-02, 2
2021-08-03, 2
2021-08-04, 1
2021-08-09, 3
2021-08-10, 1
2021-08-11, 1
2021-08-12, 1
2021-08-16, 1
2021-08-18, 1
2021-08-19, 1
2021-08-20, 1
2021-08-26, 1
2021-08-27, 68
2021-08-28, 26
2021-08-29, 7
2021-08-30, 5
2021-08-31, 1
2021-09-01, 1
2021-09-02, 3
2021-09-03, 12
2021-09-04, 12
2021-09-06, 1
2021-09-07, 5
2021-09-09, 1
2021-09-13, 41
2021-09-14, 10
2021-09-15, 2
2021-09-16, 4
2021-09-17, 3
2021-09-18, 4
2021-09-19, 18
2021-09-20, 65
2021-09-21, 43
2021-09-22, 15
2021-09-23, 4
2021-09-24, 19
2022-03-10, 49
2022-03-11, 20
2022-03-12, 11
2022-03-13, 5
2022-03-14, 8
2022-03-15, 6
2022-03-16, 1
2022-03-17, 2
2022-03-18, 2
2022-03-20, 8
2022-03-21, 5
2022-03-22, 6
2022-03-23, 3
2022-03-25, 11
2022-03-26, 11
2022-04-01, 112
2022-04-02, 18
2022-04-03, 8
2022-04-04, 3
2022-04-05, 3
2022-04-06, 2
2022-04-08, 1
2022-04-09, 8
2022-04-10, 2
2022-04-11, 2
2022-04-12, 2
2022-04-13, 1
2022-04-14, 5
2022-04-16, 1
2022-04-17, 1
2022-04-18, 11
2022-04-19, 2
2022-04-20, 2
2022-04-21, 1
2022-04-22, 2
2022-04-23, 3
2022-04-24, 5
2022-04-25, 4
2022-04-26, 3
2022-04-27, 2
2022-04-28, 6
2022-04-29, 17
2022-04-30, 22
